adipose tissue,adrenal gland,appendix,bone marrow,breast,bronchus,caudate,cerebellum,cerebral cortex,cervix,colon,duodenum,endometrium,endometrium 1,endometrium 2,epididymis,esophagus,eye,fallopian tube,gallbladder,hair,heart muscle,hippocampus,hypothalamus,kidney,lactating breast,liver,lung,lymph node,nasopharynx,oral mucosa,ovary,pancreas,parathyroid gland,pituitary gland,placenta,prostate,rectum,retina,salivary gland,seminal vesicle,skeletal muscle,skin,skin 1,skin 2,small intestine,smooth muscle,soft tissue 1,soft tissue 2,spleen,stomach 1,stomach 2,testis,thymus,thyroid gland,tonsil,urinary bladder,vagina
,,CCDC186,HBG2,FOXO1,,PARD3,MMUT,EMC6,ANPEP,SH3KBP1,,,SLC4A1AP,TYW3,,,,,,,,PLBD2,,ICOSLG,,BATF,RPIA,DUSP7,,,GLOD5,ANKZF1,,,SLIT3,,,,AMACR,,ABHD14A,,EFL1,TMEM255B,,ZKSCAN3,TK1,GHDC,SLC4A2,,,NTRK2,,,VIP,,
,,TRUB1,ZNF846,CRIM1,,ZEB1,RASGEF1C,TUBA4A,ZBTB39,KDM6A,,,WDR43,C1orf52,,,,,,,,DIP2C,,RALGDS,,NDUFAF6,PTPRD,C4orf3,,,KSR2,TRAT1,,,MAP7D2,,,,RTL5,,ENSG00000248751,,TGFB1I1,HDDC3,,GSPT2,TMEM68,MLST8,PHAX,,,AUH,,,ARMT1,,
,,HSPA12A,TCF4,DHX37,,FAM13C,DAAM2,AAMP,NAB2,DIPK2B,,,ZMYM6,ZNF326,,,,,,,,EIF4E,,SPATC1L,,CFAP418,CNKSR3,SAP30,,,ZNF562,NFASC,,,CCR10,,,,PRAF2,,ATP5MF-PTCD1,,ARMC5,DUSP8,,C8orf76,GHDC,VPS37C,BAALC,,,ACTL7B,,,GNA12,,
,,ARHGAP42,SDHAF3,ITPR1,,NRBF2,TTBK1,AKAP9,STAT6,NDUFB11,,,TPRA1,SLC30A7,,,,,,,,FAM177A1,,PCNT,,WHAMM,GTF2E1,ANXA5,,,ZNF318,NUAK2,,,TXNRD2,,,,NAA80,,TMEM150C,,UQCRC2,CDCA2,,GJB4,ABCA3,FTH1,DCAF13,,,STOM,,,C7orf50,,
,,IFI27,TLR7,CACNA1C,,LRMDA,NFKBIE,SEM1,PATL1,OGT,,,SNIP1,NLRP3,,,,,,,,NDUFC2,,DIP2A,,CCT8,CFDP1,GUCY1A1,,,ZNF561,PRKCI,,,HDDC3,,,,TMEM199,,CDK3,,ARHGAP17,APOBR,,BLOC1S2,SDHAF2,POLR2G,VIRMA,,,SURF4,,,CCZ1B,,
,,PTER,NF1,THRB,,RPP30,PHIP,HIP1,STX3,SNX12,,,POLR2H,NCSTN,,,,,,,,FER,,S100B,,SFXN2,ZDHHC7,HPGD,,,LRRC8C,RPL22L1,,,DUSP8,,,,TMEM141,,ZNF674,,KATNB1,APOO,,MATCAP1,VPS37C,ATG16L2,GEM,,,GBGT1,,,INTS15,,
,,ARL5B,VKORC1L1,UEVLD,,FRA10AC1,PNRC1,PTPN12,TSC22D4,ZNF711,,,KLF15,FLVCR1,,,,,,,,VIPAS39,,PIERCE1,,PCDH1,JAZF1,GASK1B,,,RSL1D1,ICA1L,,,SOCS3,,,,ENSG00000244255,,PCDHGA12,,ADAMTS18,PRR16,,ZNF79,FTH1,RPSA,WASHC5,,,SURF2,,,EGFR,,
,,ABTB2,CLPSL2,TMEM263,,ADD3,PM20D2,FGL2,MS4A7,MFHAS1,,,SENP2,ATF3,,,,,,,,CDC123,,GPSM1,,SH3RF2,CMIP,NAA15,,,PPID,RYBP,,,LPAR5,,,,APOBEC3C,,HOXA10,,NUDT7,RBM33,,FAT4,BSCL2,ULK4,RPP25L,,,SH3GLB2,,,PSPH,,
,,AMOTL1,CD47,UBE3B,,EIF4EBP2,RARS2,MTERF1,DIS3L,NSDHL,,,HEYL,RBM15,,,,,,,,SCLT1,,ST6GALNAC6,,RPL30,SPHKAP,ICE1,,,ETFDH,PPP4R2,,,STING1,,,,H2AJ,,PCDHGA5,,GCSH,ARMCX2,,KIF19,POLR2G,FADD,FAM219A,,,MIGA2,,,ATXN7L1,,
,,TCP11L2,STRN3,ANK3,,FUOM,SCML4,ZFP36,MARS1,ZNF185,,,RFC4,BROX,,,,,,,,VTI1A,,PLPP7,,SUPV3L1,CEBPG,ANAPC10,,,CLSTN1,SPICE1,,,KRBA2,,,,ADH1C,,PCDHGA6,,CMTM3,JAG2,,GREB1,RPSA,BATF2,NUDT2,,,LRSAM1,,,TMEM168,,
,,HIF1AN,CRACDL,PLBD2,,LRRC27,SLC18B1,SRD5A3,PDIA3,CETN2,,,RFT1,CNST,,,,,,,,QTRT2,,TAOK1,,PABIR2,DGKE,TMEM184C,,,BPTF,CADPS,,,UBE2G2,,,,ENSG00000248751,,PCDHGA11,,CDH11,DGAT1,,LCOR,ULK4,MAP4K2,CCDC171,,,GPR107,,,TRAPPC14,,
,,ZFYVE19,ZNG1C,EIF4E,,PPRC1,SHPRH,TUBGCP6,NUDT21,ATP6V1B2,,,GNL3,PPP1R21,,,,,,,,MMAA,,JAML,,EEF1A1,ZUP1,RNF180,,,GPR34,CDS1,,,TRARG1,,,,FMN1,,ZNF260,,NOL3,F8,,SUPT5H,NAALADL1,CCDC88B,SYK,,,SEC16A,,,TMEM47,,
,,CKB,SLC39A10,MAGI1,,RGS10,TMEM181,ASPHD2,SGSM1,CCDC25,,,PBRM1,REL,,,,,,,,EDNRA,,S100A1,,HK1,NUS1,SLC25A46,,,PLEKHG5,THOC7,,,WT1,,,,HAUS5,,PCDHGB7,,PDPK1,CA13,,XPNPEP3,BATF2,SCARA3,NIPSNAP3B,,,NOTCH1,,,CASK,,
,,NOLC1,CASP4,CSNK1G3,,BTBD10,PNLDC1,SDF2L1,MEI1,HMBOX1,,,TASOR,SANBR,,,,,,,,ADAM8,,VPS11,,UBE2L6,PPP2R5E,STARD4,,,ATF7IP,SLMAP,,,DGAT1,,,,TRMT9B,,LRRC24,,TIGD7,MAFF,,NIF3L1,MAP4K2,SCARA5,ABCA1,,,COMMD3,,,DIPK2B,,
,,ALKBH3,FUT11,MBIP,,LRRC4C,VIP,YWHAH,SNRPD1,GNRH1,,,UBXN7,DPY30,,,,,,,,MFSD6,,ADAR,,ZDHHC5,SDHAF4,CCDC112,,,TCEA2,RPL9,,,F8,,,,ENSG00000250424,,SIGLEC14,,TCF25,SEMA4B,,ZKSCAN7,PAFAH1B2,COPS6,HGSNAT,,,MSRB2,,,EBP,,
,,SGPL1,ANXA4,MIPOL1,,IMMP1L,ARMT1,GNAZ,ACSF2,BIN3,,,PIGX,ARL5A,,,,,,,,RNF144A,,VPS28,,MED19,TBCEL,F2RL1,,,HDAC3,ABHD6,,,LRRC14B,,,,CHCHD10,,AP5B1,,GALNS,ANO9,,NUDT11,NUDT16L1,NUDT16L1,CYBB,,,RSU1,,,OGT,,
,,COX11,WDR5B,ME3,,HSD17B12,C7orf50,MGAT3,GOLGA2,SLC25A37,,,MELTF,LRATD1,,,,,,,,SLC25A4,,RECQL4,,KAT6B,OTULIN,NDUFS4,,,TMEM51,RBM47,,,SEMA4B,,,,CDK3,,CHMP4A,,KSR1,SIGIRR,,TRAPPC2,KIAA1586,KIAA1586,PIGA,,,ZEB1,,,SNX12,,
,,CYYR1,NPIPB9,VIPAS39,,APIP,CCZ1B,CDC42EP1,SLC27A4,PLPBP,,,ZNF691,CFAP36,,,,,,,,BICD1,,PPP1R16A,,RAB11FIP1,UBASH3B,GRPEL2,,,GATM,IL17RE,,,NELFA,,,,ENSG00000250644,,CHMP1B,,GFOD2,TNFAIP2,,ESRRG,SETD5,THAP9,GAPVD1,,,NRBF2,,,IL2RG,,
,,WBP1L,GMFB,VPS26B,,TNKS1BP1,INTS15,TPST2,ENDOG,ERLIN2,,,AIMP1,NUP35,,,,,,,,SAV1,,ALKBH4,,MAPK13,PITPNC1,ERAP2,,,CTPS1,IL17RC,,,ANO9,,,,ZNF345,,HTD2,,TOM1L1,TCEAL9,,ANAPC7,THAP9,MAPK1IP1L,WNK2,,,ADIRF,,,ZNF711,,
,,TRIM44,KIAA1671,MMAA,,SSRP1,NIPSNAP2,BAIAP2L2,PRRX2,GOLGA7,,,SGMS2,WDCP,,,,,,,,CCDC122,,CCDC105,,BAG4,CC2D1B,CFAP97,,,PWWP2B,CRELD1,,,FAF1,,,,SHANK3,,CARD18,,KIF2B,ZNF74,,TPK1,MAPK1IP1L,LMBRD1,ATP7A,,,GLUD1,,,DIAPH2,,
,,ILK,GAL3ST4,EDNRA,,SLC43A1,CCT6A,MPST,SP2,NSD3,,,EMCN,SMC6,,,,,,,,GUF1,,SQSTM1,,NTAQ1,TNIK,RICTOR,,,MLLT3,PRRT3,,,LRRC37B,,,,ENSG00000251537,,CTSO,,SCRN2,UBALD2,,AFAP1,PTGDR,TTC39C,ZNF367,,,HTR7,,,DOCK11,,
,,TPP1,DYNC1H1,NR3C2,,PTPRJ,SLC12A9,TST,PRR15L,RPL7,,,BDH2,SPATA18,,,,,,,,SACS,,RPL8,,ZNF689,FAM167A,UBLCP1,,,TRAPPC12,MTMR14,,,TCEAL9,,,,PCDHGA12,,DNAAF4,,ABCA8,CDNF,,MYO18A,UBTD2,UBTD2,ARHGAP12,,,MKI67,,,MCPH1,,
,,ATP9B,PCNX3,DPYSL4,,CSTPP1,TRIM4,APOL2,TBC1D2B,MTDH,,,ATRIP,SMARCAD1,,,,,,,,PABPC3,,NAPEPLD,,MALSU1,OBSCN,UQCRQ,,,RPS21,TTC14,,,KIAA0825,,,,PCDHGA5,,HMBS,,CLTC,IL3RA,,LAMA2,DNAJC7,DNAJC7,HECTD2,,,LRRC27,,,MFHAS1,,
,,SERPINB8,LRRC8B,ADAM8,,ARFGAP2,MEPCE,RAC2,KATNAL2,EBAG9,,,SPRY1,PDLIM5,,,,,,,,CCL28,,AP2M1,,GALK2,LONRF1,GRIK2,,,MRM3,RCHY1,,,UBALD2,,,,PCDHGA6,,POLG2,,BCAS3,ARL15,,MYO6,THAP11,MGAT2,SUGT1,,,GSTO1,,,NSDHL,,
,,TRIM66,SLC22A4,MFSD6,,ENDOD1,EPHA1,LIF,RNF214,NDUFB9,,,RNF123,CTSS,,,,,,,,BEND6,,ABCF3,,PDE6D,TRIM11,CGAS,,,TVP23B,GYG1,,,RGPD2,,,,LYN,,LSM14A,,AFG3L2,SOCS1,,MRTFA,IRF2,BMI1,INPPL1,,,PDCD11,,,CCDC25,,
,,RPL27A,C1D,RNF144A,,CCDC82,NLGN4X,RIBC2,DPEP2,TATDN1,,,ABHD18,IWS1,,,,,,,,AP1S3,,FBXO27,,EIF4A2,ENAH,ANKRD55,,,SCG2,TM4SF18,,,PRKN,,,,PINX1,,CNPY2,,IMPA2,HGS,,RABL6,SEPTIN2,THAP11,DDIAS,,,RGS10,,,HMBOX1,,
,,C16orf46,RAD54B,ASAP2,,TENM4,SHROOM2,EMC4,DUS2,NAPRT,,,MST1R,BOLA3,,,,,,,,FAM168B,,NPHS1,,BRPF1,SH3RF1,GALNT10,,,ATPAF2,SNRK,,,HGS,,,,PCDHGB7,,BCL2L2-PABPN1,,SLC39A6,MRPL30,,TECPR2,FILIP1L,PXK,LRR1,,,IMMP1L,,,GNRH1,,
,,TMEM41B,BLM,ADAM17,,CAPN5,SH3KBP1,RNF112,POP5,VLDLR,,,POC1A,CDC42EP3,,,,,,,,MGAT5,,LRRC56,,TATDN2,C10orf90,SAP30L,,,SYNPO,UCN,,,MAPK11,,,,CKLF-CMTM1,,PINX1,,GAREM1,TARS3,,ZNF33B,MFSD2A,IRF2,DNAAF2,,,PGAP2,,,BIN3,,
,,ZNF143,DDI2,WWC2,,INTS4,TMEM47,SPECC1,ATP5MG,NFIB,,,HMGB2,TGFA,,,,,,,,HSPB8,,PGAP3,,EXOG,DIPK1A,BMT2,,,EIF2AK3,WDR43,,,TARS3,,,,DPP3,,CEP95,,GATA6,FAM174B,,ZNF512B,DTYMK,SEPTIN2,KLHDC2,,,SYT8,,,SLC25A37,,
,,WEE1,SVIL,ACSL1,,PAK1,LANCL3,ATP6V1F,RRM1,HAUS6,,,SCRG1,GNPDA2,,,,,,,,GEMIN6,,ACOX1,,FCHO2,CXADR,PTTG1,,,CYCS,ZDHHC3,,,SH3BGR,,,,HCAR3,,SMIM6,,RMC1,MUC1,,AMZ2,ING5,FILIP1L,ARF6,,,ZNF215,,,ERLIN2,,
,,MAPK7,MRPL21,SLC25A4,,ZC3H12C,CASK,LSM8,IRGQ,CDKN2B,,,HAND2,HELQ,,,,,,,,SETBP1,,ALDH16A1,,RBPMS,C21orf91,USP49,,,FRMD3,CDCP1,,,PARPBP,,,,CARD18,,ZHX1-C8orf76,,NPC1,PRKG1,,ZNF700,RFWD3,MFSD2A,DACT1,,,APIP,,,ST18,,
,,PRKCB,HTT,BICD1,,HTR3B,HDAC8,PRKRIP1,ZNF226,CDKN2A,,,ANXA5,DAPL1,,,,,,,,KCNK13,,EMC10,,ODR4,L3MBTL4,SYTL3,,,PAIP1,LZTFL1,,,IRF7,,,,NDUFC2-KCTD14,,PIERCE2,,SLC14A1,OLFML2A,,STRN3,STIP1,DTYMK,PRPF18,,,DGKZ,,,GINS4,,
,,HDGFL3,SHPK,SAV1,,ATM,EBP,VGF,VKORC1,C9orf72,,,FBXO8,PMVK,,,,,,,,ATG10,,SHANK1,,CLDN12,MRPL39,FABP5,,,CERS6,NMNAT3,,,DLK1,,,,ZHX1-C8orf76,,ENSG00000262660,,WRAP53,SP1,,ILRUN,SCNN1B,RHOH,VSTM4,,,TNKS1BP1,,,MRPS28,,
,,CCDC68,IPP,CCDC122,,LAMTOR1,SNX12,MKLN1,SMG8,ZCCHC7,,,HPGD,INAVA,,,,,,,,FAM151B,,DBF4B,,SUSD3,ADAMTS5,COL1A2,,,COPRS,SMIM12,,,AHNAK2,,,,MRC1,,MRPL12,,MINK1,MRPL40,,ARID5A,RAB31,STIP1,VDAC2,,,PTPRJ,,,SYBU,,
,,ZSCAN21,GSTK1,SERP2,,ST14,IL2RG,DNAJB9,MVD,SIGMAR1,,,GASK1B,YY1AP1,,,,,,,,JMY,,PLCD3,,FCSK,FGD5,CHMP4C,,,TP53RK,ZMYM6,,,MRPL40,,,,SULT1A3,,MYZAP,,TP53,PBX1,,PPTC7,BMP1,SCNN1B,COMTD1,,,CELF1,,,EIF3H,,
,,TK2,MYO5A,NBAS,,HYOU1,ZNF711,CCDC136,ZNF641,ZNG1E,,,FHIP1A,EOGT,,,,,,,,CAMK4,,LARP4,,MYO1E,FLCN,PEX2,,,SUCLG2,TPRA1,,,PBX1,,,,ZNF865,,GJA5,,CSNK1D,UBE2L3,,NHLRC2,FEN1,RAB31,ABRAXAS2,,,ENDOD1,,,NDUFB9,,
,,TMEM135,SIPA1L1,GUF1,,TMEM138,DIAPH2,SMO,RHEBL1,IDNK,,,OTUD4,TEX55,,,,,,,,PFKM,,TAMALIN,,KCNJ15,DPH3,SPIDR,,,GNB2,ZC3H12A,,,UBE2L3,,,,GAN,,RPL17,,TBCD,IFIT1,,ZNG1C,MTCL1,BMP1,FAM204A,,,KLHL35,,,TATDN1,,
,,RRAD,ZNF624,PARP8,,FADS1,DOCK11,IRF5,GPD1,SHC3,,,NDUFAF2,FSTL1,,,,,,,,DMP1,,TNFSF13,,MX1,PIEZO2,OSGIN2,,,GNG12,KLF15,,,BRWD1,,,,PIERCE2,,SRGAP2,,RPTOR,IKZF1,,LAMB3,SERINC2,MTCL1,GHITM,,,INTS4,,,NAPRT,,
,,ATF7IP2,HOXA4,GFRA1,,INCENP,NSDHL,MRPS12,PROSER3,AOPEP,,,RANBP3L,CXCR1,,,,,,,,MBNL1,,SENP3,,C2CD2,RAB6B,SUN1,,,COPS9,TMEM41A,,,ZBTB3,,,,MYZAP,,NCOA4,,FOXK2,PCYT2,,PDLIM7,TMEM223,SERINC2,PMPCA,,,RPS3,,,CDKN2B,,
,,BEX3,KCNMB2,DST,,EI24,CETN2,MTX2,AXL,INIP,,,ADGRV1,CCT3,,,,,,,,NADK2,,FGF11,,TAB3,APOOL,TMEM184A,,,TCEAL1,RPN1,,,MYBL1,,,,NBPF11,,ENSG00000267001,,TRIM65,GNB1L,,SLC39A10,ZSWIM1,GFRA2,ENTR1,,,ZC3H12C,,,C9orf72,,
,,B2M,SPTAN1,BEND6,,ESAM,ATP6V1B2,GAD1,LENG8,UGCG,,,SLC25A46,STK36,,,,,,,,GPR180,,RPL26,,SLC38A10,CYP2U1,MICALL2,,,ZNF24,HEYL,,,DRG1,,,,CFAP298-TCP10L,,FDX2,,ZNF750,LAMP1,,AP2A1,NDUFS5,ING2,HPRT1,,,TTC12,,,ZCCHC7,,
,,ZNF592,RPS26,AP1S3,,TMEM25,CCDC25,HERC2,ZNF526,ALAD,,,STARD4,EOMES,,,,,,,,UTRN,,POLR3K,,PSMG3,AGPAT5,CDK5,,,HCFC1,BAP1,,,ANKFY1,,,,TXNIP,,SIGLEC5,,CBX4,FFAR3,,WDR5B,LRATD2,ZSWIM1,BORCS5,,,HTR3B,,,SIGMAR1,,
,,HTR3A,S100A10,RABGAP1L,,JPH2,HMBOX1,SNRPN,C19orf33,WDR31,,,F2RL1,GLB1L,,,,,,,,GRM1,,WDR90,,WDR19,PI4K2A,SLC4A2,,,SMPDL3A,RFT1,,,CXorf38,,,,NBPF15,,IKBKG,,MBD1,IRS2,,ZNF420,LRP1B,NDUFS5,RET,,,ATM,,,ZNG1E,,
,,SLFN5,TXNRD3,GPATCH11,,KIAA1755,GNRH1,TWSG1,YIF1B,SURF1,,,GRPEL2,SGO2,,,,,,,,GGPS1,,TEDC2,,SPPL3,ZFYVE27,FASTK,,,RAD9A,TASOR,,,SLC52A2,,,,NCOA4,,BIVM-ERCC5,,SMAD4,BICD2,,ZNF763,ABHD15,TMEM208,DDX21,,,AASDHPPT,,,IDNK,,
,,SAAL1,KLHDC1,HSPB8,,DSN1,CHMP7,WDFY4,DAPK3,SURF2,,,GPX8,NUAK2,,,,,,,,MARVELD2,,ZNF75A,,TNFRSF14,GOLGA7B,TMUB1,,,WASHC2C,MELTF,,,PIGP,,,,NBPF12,,POM121C,,TNFRSF11A,TMLHE,,H4C3,ADAL,STX18,JCAD,,,ST14,,,SHC3,,
,,PPIB,ZNF181,OBI1,,SOGA1,PLPBP,EIF2AK4,UBXN6,REXO4,,,SERINC5,IFI16,,,,,,,,PLOD2,,SHANK2,,RER1,HSPA13,ALDH7A1,,,ZMAT3,C1orf50,,,IKZF1,,,,ENSG00000268870,,CFAP206,,ZCCHC2,NDUFA13,,DYNC1H1,LCMT2,ZBTB49,NSMF,,,ADAM33,,,AUH,,
,,FAM111A,INKA2,CYSLTR2,,CNBD2,RGS20,MYO5C,ZNF444,ASB6,,,ERAP2,EIF5A2,,,,,,,,NRSN1,,ASRGL1,,KRTCAP3,SAMSN1,BAALC,,,CFL1,H2AZ1,,,ARL17A,,,,IKBKG,,CYFIP1,,NT5C3B,KRT73,,PCBP2,STX18,GFM1,CCDC186,,,TKFC,,,INIP,,
,,KIF7,ZNF790,SETBP1,,CDC42EP2,GOLGA7,TMOD2,NXN,PTGES2,,,CFAP97,PPM1L,,,,,,,,ZIC1,,RPL29,,EXTL1,USP25,DCAF13,,,RAB43,EMCN,,,GNB1L,,,,SPIB,,ADRA2B,,ERBB2,PIP5K1C,,SRC,ZBTB49,HTR1E,ZFYVE1,,,TMEM138,,,GSN,,
,,LDHD,ZNF677,PSTPIP2,,TM7SF2,GINS4,TTBK2,KIFC2,SLC25A25,,,GRIK2,ICA1L,,,,,,,,CWC27,,FGF19,,BABAM2,GRAMD2B,INTS8,,,RPL38,SLC9B2,,,FFAR3,,,,NBPF9,,PRAG1,,MIEN1,ZBTB6,,SND1,GFM1,TNIP2,HSPA12A,,,INCENP,,,POLE3,,
,,ANKDD1A,MPZL1,SPC25,,HMGA2,MRPS28,ELL3,SRR,MIGA2,,,DCBLD1,RYBP,,,,,,,,SRP19,,PDZK1IP1,,GRHL3,ZCCHC10,VIRMA,,,PDP2,PLXNB1,,,KLHDC8B,,,,NBPF8,,ORAI1,,FKBP10,C2orf76,,NOL4L,HTR1E,TMEM150A,FRAT1,,,EI24,,,SURF4,,
,,CLPX,VPS13A,TGOLN2,,CNTN5,LACTB2,CCDC32,TSR1,LCN2,,,SFXN1,GTPBP8,,,,,,,,CARHSP1,,CMPK1,,UBXN11,PPM1J,GEM,,,MRGPRF,ATRIP,,,SETD4,,,,NBPF14,,H2AC8,,NFIC,POLR3C,,H4C11,TNIP2,RNF181,ISCA2,,,ESAM,,,SURF2,,
,,NAB2,NOL8,ATG10,,MKX,RPL7,MINDY2,SPRYD3,LRSAM1,,,PDSS2,CCDC191,,,,,,,,TXNDC11,,CZIB,,PTPDC1,SLC16A1,WASHC5,,,PHF8,SPRY1,,,IRS2,,,,ENSG00000271254,,ZNF670,,PLPP2,CENATAC,,TRIM33,TMEM150A,PLA2G4F,IFI27,,,MPZL2,,,ASB6,,
,,STAT6,NPIPB13,POC5,,CDH8,SYBU,KNSTRN,NDUFV1,HMCN2,,,H2AC1,CDS1,,,,,,,,DAB2,,PARS2,,CUL4B,NIFK,NIPSNAP3B,,,KAT5,BSN,,,AGBL4,,,,NBPF10,,PSMB3,,VAV1,EDARADD,,ZNF655,RNF181,FEM1B,CACNB2,,,TMEM25,,,PTGES2,,
,,PATL1,ZBTB14,GUCY1A2,,TMCO3,NDUFB9,DUT,PRDX2,GPR107,,,ANKRD55,WDFY3,,,,,,,,SMARCA5,,PRKAA2,,AUTS2,SLC7A7,NFIL3,,,SH3RF3,INTU,,,PIP5K1C,,,,NUDT3,,MRPL45,,MVB12A,GPAT2,,VEPH1,PLA2G4F,COMMD8,ABTB2,,,JPH2,,,NTMT1,,
,,PIP4K2C,ZNF248,CWF19L2,,LATS2,TATDN1,CHAC1,MIS12,SEC16A,,,PI16,THOC7,,,,,,,,RANBP2,,RBP7,,H4C8,LARP1,FXN,,,HPSE2,RNF123,,,ZBTB6,,,,DOC2B,,PAGR1,,DPP9,BACE1,,SLC2A10,ZNF608,COL4A3,R3HCC1L,,,DUSP15,,,CIZ1,,
,,MS4A7,NPIPB6,RPP38,,ADGRL3,GSDMC,ARPP19,CD300C,NOTCH1,,,SLU7,ADAMTS9,,,,,,,,AHCTF1,,FBLIM1,,MITD1,MIER3,TMEM71,,,TADA2B,MST1R,,,C2orf76,,,,DCP1A,,ZNF511-PRAP1,,IFITM3,CYP4X1,,SIPA1L1,INPP5D,MAP2K1,CEP57,,,DSN1,,,SH3GLB2,,
,,DIS3L,RPS6KL1,USP12,,KIAA1328,ZNF7,VPS13C,MRPL58,CACNA1B,,,RP9,HESX1,,,,,,,,TMEM87B,,DHRS3,,CD1E,HYCC2,HGSNAT,,,GRK2,RAD54L2,,,WWOX,,,,NBPF26,,EXOC3L2,,PGGHG,CCDC30,,ENPP1,PPIC,UPF3A,TCP11L2,,,LSM14B,,,LRSAM1,,
,,MBD6,DDX42,CCDC50,,MIA2,NFIB,LOXL1,EVPL,NACC2,,,PTTG1,SLMAP,,,,,,,,PTPRR,,KIAA1522,,PPP1R9A,TMEM237,TRPV6,,,RELA,PPM1M,,,CENATAC,,,,ENSG00000273748,,TBCE,,SOD1,TRDN,,SPTAN1,JMJD7-PLA2G4B,HSPBAP1,JAM3,,,CDC42EP2,,,PAXX,,
,,NUDT21,SLC29A3,ZFP36L2,,HNMT,ZCCHC7,MBD4,ZNF598,MSRB2,,,KIF6,RPL9,,,,,,,,NR4A2,,UBXN10,,EMSY,DEPTOR,DYNLT3,,,EVC2,HMGB2,,,SAPCD2,,,,CYFIP1,,LRTOMT,,DNMT3L,GNG2,,KLHL14,FEM1B,SLC25A6,IKBIP,,,ALDOA,,,INPP5E,,
,,DUSP18,UCKL1,PAN3,,PDCD4,SIGMAR1,COPB1,ABCA3,FAM171A1,,,ZNF704,DNASE1L3,,,,,,,,CYRIB,,SCNN1D,,GPAT4,LSM11,KIAA1958,,,BNC2,SAP30,,,BLOC1S4,,,,NOL12,,ENSG00000284969,,TRPM2,RGS7BP,,RPE,COMMD8,PARM1,RPUSD2,,,HIRIP3,,,SEC16A,,
,,ACSF2,GET3,NADK2,,GPM6A,ZNG1E,PALLD,FTH1,PARD3,,,TAGAP,RBM47,,,,,,,,PLEKHG4B,,FAAP20,,ZSCAN12,ADCY8,STRBP,,,HSPA6,ANXA5,,,KDM4D,,,,H2AC12,,ENSG00000285283,,CBLC,TMEM222,,S100A10,MAP2K1,FAM110B,HIF1AN,,,EEF1AKMT1,,,CACNA1B,,
,,GOLGA2,ASPH,GJA1,,WDR17,CEP78,SPCS3,TRANK1,FAM13C,,,LMTK2,APBB2,,,,,,,,NMRAL1,,MEGF6,,ELK4,RASA2,ATP7A,,,MTX1,GUCY1A1,,,TOR3A,,,,NUDT18,,DERPC,,RNPEPL1,ARHGAP30,,RPL37A,UPF3A,ATF5,NDUFB8,,,SAP18,,,NACC2,,
,,CRK,ZNF587,SLC30A6,,CNDP1,NTRK2,SERGEF,FADD,NRBF2,,,C8orf48,PCOLCE2,,,,,,,,UBALD1,,OMA1,,DUSP23,RMND1,NOL6,,,PARP14,FBXO8,,,PPP1CC,,,,LENG9,,PRRC2B,,NLRP12,SMIM29,,TAF13,FAM110B,NSMCE1,ZFYVE19,,,KIAA1328,,,MSRB2,,
,,TBC1D2B,SH3BGRL2,PELO,,DLG2,IDNK,TPH1,SAC3D1,ADIRF,,,PEX2,MTMR14,,,,,,,,ING1,,USP1,,USF1,AFF2,AQP3,,,ABLIM3,IL15,,,RXRA,,,,H2AC15,,,,ZNF787,BCDIN3D,,ATAD3A,AFAP1L2,PRELID1,LARP6,,,FAM124A,,,PDSS1,,
,,DPEP2,TMA16,GPR180,,RGS18,SHC3,E2F8,BATF2,GLUD1,,,SPIDR,TTC14,,,,,,,,CNKSR3,,NEXN,,SPATA2L,MICU3,OTUD1,,,TUBB8B,FHIP1A,,,ANKRD37,,,,FCGBP,,,,EVI5L,ZNF397,,CYRIA,NSMCE1,THBS3,SENP8,,,PDCD4,,,FAM171A1,,
,,ENGASE,HLA-DRB5,UTRN,,MTMR12,AOPEP,DCTD,MAP4K2,HTR7,,,ORC5,TM4SF18,,,,,,,,CFDP1,,LRRIQ3,,NIT1,VPS37A,ARHGAP12,,,PPP1R3B,ICE1,,,GNG2,,,,ENSG00000275740,,,,SLC47A1,TPCN1,,NKIRAS1,NPIPB12,SLC50A1,NOLC1,,,CD226,,,MINDY3,,
,,ATP5MG,MAFK,PTPRK,,DOCK1,PLPPR1,RPAIN,ANKS3,RPP30,,,GPER1,SNRK,,,,,,,,JAZF1,,FAM102B,,DEDD,CARNMT1,FBXO33,,,MAP3K11,ITGA2,,,PCLO,,,,H2AC14,,,,PSMB6,KRT16,,PLCG2,RGS14,KCNAB1,CCT2,,,CNDP1,,,RSU1,,
,,TBC1D16,CTNND1,MARVELD2,,DLAT,STOM,CD68,KIAA1586,FRA10AC1,,,INTS1,ZNF513,,,,,,,,CMIP,,HENMT1,,ZNF276,MCU,INTS6L,,,DAG1,RNF180,,,RGS7BP,,,,H2AC16,,,,RPL13A,ERCC6L,,RPL12,PRELID1,SHE,ARIH1,,,DOCK1,,,ZEB1,,
,,ACAA2,DDX39B,RAD17,,NKAPD1,MRRF,TXNDC17,THAP9,ADD3,,,CDK5,KIF15,,,,,,,,SPHKAP,,C1orf52,,NPM2,KCNMA1,WRN,,,THAP2,ADGRV1,,,TMEM222,,,,SRCIN1,,,,RCN3,ZDHHC17,,AKAP17A,THBS3,SLC33A1,COX11,,,DIXDC1,,,FAM13C,,
